"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-16","68","51","63"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-17","73","41","67"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-18","79","43","70"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-19","78","48","72"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-20","82","60","76"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-21","83","65","77"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-22","77","51","58"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-23","75","49","64"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-24","85","64","79"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-25","86","61","75"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-26","82","65","77"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-27","77","58","62"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-28","67","48","64"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-29","75","47","69"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-30","85","57","79"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-10-01","84","54","74"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-10-02","84","63","80"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-10-03","88","70","81"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-10-04","90","71","81"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-10-05","87","68","79"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-10-06","79","51","51"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-10-07","61","44","58"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-10-08","62","35","54"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-10-09","68","39","61"
